battery,cycle,feature,raw_value,mean,std,sigma_candidate,missing,action,cleaned_value
CY25-1,901,voltage kurtosis,4.331073392799329,0.3892037202041044,1.0287511741436852,True,False,linear_interpolation,2.6252798764159424
CY25-1,750,voltage slope,4.033485728608689e-05,8.967430768237183e-05,1.6372127825190752e-05,True,False,linear_interpolation,7.323521843244162e-05
CY25-1,800,voltage slope,3.846750842659978e-05,8.967430768237183e-05,1.6372127825190752e-05,True,False,linear_interpolation,7.027287623958552e-05
CY25-1,850,voltage slope,3.635096459751899e-05,8.967430768237183e-05,1.6372127825190752e-05,True,False,linear_interpolation,6.699989006682419e-05
CY25-1,900,voltage slope,3.4420657959789976e-05,8.967430768237183e-05,1.6372127825190752e-05,True,False,linear_interpolation,6.384599937826226e-05
CY25-2,901,voltage kurtosis,4.336996415463613,0.44975947813694717,1.0714473435576632,True,False,linear_interpolation,2.70238653498542
CY25-2,800,voltage slope,3.873439374745291e-05,8.998928928540207e-05,1.6548570169136363e-05,True,False,linear_interpolation,7.090742004877332e-05
CY25-2,850,voltage slope,3.671166847412028e-05,8.998928928540207e-05,1.6548570169136363e-05,True,False,linear_interpolation,6.83377118319971e-05
CY25-2,900,voltage slope,3.481486916201612e-05,8.998928928540207e-05,1.6548570169136363e-05,True,False,linear_interpolation,6.463729197120773e-05
CY25-2,950,voltage slope,3.302596917096699e-05,8.998928928540207e-05,1.6548570169136363e-05,True,False,linear_interpolation,6.188036587546374e-05
CY25-2,29,current std,0.39198840941599294,0.47302288986887103,0.026606355754943183,True,False,linear_interpolation,0.39574450477029777
CY25-2,32,current kurtosis,0.3311503708940893,-1.4592188389076879,0.5966922552216944,True,False,linear_interpolation,0.304825761693712
CY25-2,1,current entropy,1.0342286423405922,1.912051667805703,0.29179828276977143,True,False,linear_interpolation,1.0471628144196345
CY25-3,901,voltage kurtosis,3.9452360113787037,0.45794435903558955,1.0661265333988614,True,False,linear_interpolation,2.487313509719378
CY25-3,800,voltage slope,4.026853114738916e-05,9.027937821770445e-05,1.6292310254358086e-05,True,False,linear_interpolation,7.33013687062636e-05
CY25-3,850,voltage slope,3.8187377481763484e-05,9.027937821770445e-05,1.6292310254358086e-05,True,False,linear_interpolation,7.086447087541672e-05
CY25-3,900,voltage slope,3.630892336132337e-05,9.027937821770445e-05,1.6292310254358086e-05,True,False,linear_interpolation,6.821912885156584e-05
CY25-3,950,voltage slope,3.4729380265441896e-05,9.027937821770445e-05,1.6292310254358086e-05,True,False,linear_interpolation,6.559449664614914e-05
